CDC English	CDC Spanish	NIH English	NIH Spanish
Count: 	8
		abdomen	abdomen
		abdomen	vientre
		acquired immune deficiency syndrome 	síndrome de inmunodeficiencia adquirida (SIDA)
		ADD 	síndrome de déficit atencional
		ADHD 	síndrome de hiperactividad y déficit atencional
		adrenal glands	glándulas suprarrenales
		AIDS 	SIDA (síndrome de inmunodeficiencia adquirida)
		AIDS related complex 	complejo relacionado con el SIDA
		ailments	enfermedades
		ailments	padecimientos
		AIS 	ELA (esclerosis lateral amiotrófica)
		allergy	alergia
		alternative medicine 	medicina alternativa
		Alzheimer's disease	mal de Alzheimer
		ambulance	ambulancia
		ambulatory surgical center	centro quirúrgico para pacientes ambulatorios
		ambulatory surgical center	centro ambulatorio de cirugía
		amputated 	amputado(a) (la parte del cuerpo ha sido...)
		amputation	amputación
		amputee	persona con una amputación
		amyotrophic lateral sclerosis 	esclerosis lateral amiotrófica (ELA)
		analgesic	analgésico
		anesthesia	anestesia
		anesthesiologist 	anestesiólogo
		anesthesiology 	anestesiología
		ankle	tobillo
		antidote	antídoto
		aorta	aorta
		aortic valve	válvula aórtica
		aqueous humor 	humor acuoso
		ARC 	complejo relacionado con el SIDA
		armpits	armpits
		arms	arms
		arteries	arteries
		artery 	arteria axilar
		artery 	arteria braquial
		artery 	arteria de carótica
		artery 	arteria coronaria
		artery 	arteria facial
		artery 	arteria femoral
		artery 	arteria pulmonar
		artery 	arteria subclavia
		artery 	arteria temporal
		arthritis	artritis
		articulation	articulación
		assisted living	ayuda parcial
		assisted living	viviendo con ayuda parcial
		assisted living facility	institución de ayuda parcial
		atrium 	aurícula
		attention deficit disorder 	síndrome de déficit atencional
		attention deficit hyperactivity disorder 	síndrome de hiperactividad y déficit atencional
		axillar vein	vena axilar
		axillary artery	arteria axilar
